request_id,policy,provider,model,latency_ms,cost_usd
0e45a35a-ff94-4916-9927-7bd7942f18bb,cheap,aws,bedrock-claude-3-haiku,0,0.0
0e45a35a-ff94-4916-9927-7bd7942f18bb,cheap,azure,gpt-4o-mini,0,0.0
ad9cfd83-41c6-4125-85de-b84c174b9a7a,cheap,aws,bedrock-claude-3-haiku,0,0.0
ad9cfd83-41c6-4125-85de-b84c174b9a7a,cheap,azure,gpt-4o-mini,0,0.0
21a67e71-227d-44b9-a471-f02355a9ba8d,cheap,aws,bedrock-claude-3-haiku,0,0.0
21a67e71-227d-44b9-a471-f02355a9ba8d,cheap,azure,gpt-4o-mini,0,0.0
c4489fa5-cee3-40eb-90a7-2f9d2579d35d,cheap,aws,bedrock-claude-3-haiku,0,0.0
c4489fa5-cee3-40eb-90a7-2f9d2579d35d,cheap,azure,gpt-4o-mini,0,0.0
47dcd26a-4124-4da1-9591-336464975177,cheap,aws,bedrock-claude-3-haiku,0,0.0
47dcd26a-4124-4da1-9591-336464975177,cheap,azure,gpt-4o-mini,0,0.0
363d4bcc-fcbf-49a1-9456-a00af0dcc7ba,cheap,aws,anthropic.claude-3-haiku-20240307-v1:0,2177,0.0
95f7b8fb-4aa1-4dd1-943b-c244e8c940ce,cheap,aws,anthropic.claude-3-haiku-20240307-v1:0,1580,0.0
95f7b8fb-4aa1-4dd1-943b-c244e8c940ce,cheap,azure,gpt-4o-mini,2697,0.0
cb5f052f-cbce-41a0-9057-3b1691b25421,cheap,aws,anthropic.claude-3-haiku-20240307-v1:0,2346,0.0
a86b37dc-a7c6-4d78-8fbd-fd52dd640a2c,cheap,aws,anthropic.claude-3-haiku-20240307-v1:0,1860,0.0
c79c9f3b-6e93-4e4f-8b90-481bfbc48d57,cheap,azure,gpt-4o-mini,3036,0.0
e5d0b078-8e7d-4fd6-99b1-406460f60a74,cheap,azure,gpt-4o-mini,2492,0.0
e5d0b078-8e7d-4fd6-99b1-406460f60a74,cheap,aws,anthropic.claude-3-haiku-20240307-v1:0,1179,0.0
